,,,,,,,,,,,
Empanelled Hospital List - Maharashtra,,,,,,,,,,,
Sr No,Hospital,Location,City,District,State,Address,STD_Code,Tel_no,Status,PPN Hospital,PPN City
63,Heda Hospital,Holy Cross Convent Rd,Akola,Akola,Maharashtra,"Holy Cross Convent Road, Kedia Plot",0724,2426666,Empanelled,PPN Not Applicable,Other
64,Murarka Hospital,Jatherpeth Road,Akola,Akola,Maharashtra,"Jatherpeth Road,Durga Chowk",0724,2422008,Empanelled,PPN Not Applicable,Other
65,Om Multispeciality Hospital,Tapdiya Nagar,Akola,Akola,Maharashtra,Tapdiya Nagar Square,0724,2423587,Empanelled,PPN Not Applicable,Other
66,Shree Samarth Hospital,Jatharpeth Road,Akola,Akola,Maharashtra,Kedia Plot Near Maharastra Kanya School Plot No 8/10 A Jatharpeth,0724,2428542,Empanelled,PPN Not Applicable,Other
67,Siddhivinayak Hospital,New Bus Stand,Akola,Akola,Maharashtra,"Behind New Bus Stand, Near Hotel Dreamland",0724,2422837,Empanelled,PPN Not Applicable,Other
68,Vitthal Hospital,Jatharpeth Road,Akola,Akola,Maharashtra,"Jatharpeth Road, Kedia Plot",0724,2420100,Empanelled,PPN Not Applicable,Other
69,Deshmukh Eye Hospital,Khaperde Gardens,Amravati,Amaravati,Maharashtra,"Daulat, Netradan Marg, Khaperde Gardens,",0721,2663151,Empanelled,PPN Not Applicable,Other
70,Dr Vijay agrawal eye Clinic,Near central bank,Amravati,Amaravati,Maharashtra,"Near Traffice Police Station, Marshi road, near central banksakun bhavan",0721,2573468,Empanelled,PPN Not Applicable,Other
71,Galaxy Hospital & Apex Critical Care,Rajapeth,Amravati,Amaravati,Maharashtra,Kolhatkar Mangal Karyalaya Road Rajapeth,0721,2566856,Empanelled,PPN Not Applicable,Other
72,Get Life Health Care Pvt Ltd,Rukhmani Nagar,Amravati,Amaravati,Maharashtra,Near Maratha Friends Club Behind 19 Municipal School Vijay Colony,0721,2571354,Empanelled,PPN Not Applicable,Other
