,,,,,,,,,,,
Empanelled Hospital List - Maharashtra,,,,,,,,,,,
Sr No,Hospital,Location,City,District,State,Address,STD_Code,Tel_no,Status,PPN Hospital,PPN City
581,Suretech Hospital & Research Centre Ltd,Dhantoli,Nagpur,Nagpur,Maharashtra,"13-A, Banerjee Marg, Dhantoli",0712,6612999,Empanelled,PPN Not Applicable,Other
582,Sushrut Hospital & Research Centre,Ramdaspeth,Nagpur,Nagpur,Maharashtra,"30 A, Farmland, Ramdaspeth",0712,2424062,Empanelled,PPN Not Applicable,Other
583,Swami Vivekanad Medical Mission,Khapri,Nagpur,Nagpur,Maharashtra,Wardha Road Parsodi Khapri Opp Sun Sand Hotel,07103,275547,Empanelled,PPN Not Applicable,Other
584,Upcharya An Institute Of Orthopaedic Surgery & Trauma Care Centre,Central Avenue,Nagpur,Nagpur,Maharashtra,"62, Central Avenue, Gitanjali Theatre Square",0712,3296344,Empanelled,PPN Not Applicable,Other
585,Vasan Eye Care Hospital,Dhantoli,Nagpur,Nagpur,Maharashtra,"46 Ramson Towers, Hump Yard Road, Near Congress Nagar, T Point Dhantoli",0721,3989000,Empanelled,PPN Not Applicable,Other
586,Wockhardt Heart Hospital,Ambazari Road,Nagpur,Nagpur,Maharashtra,"27, Corporation Colony, North Ambazari Road",0712,2244844,Empanelled,PPN Not Applicable,Other
587,Wockhardt Hospitals,North Ambazzari Road,Nagpur,Nagpur,Maharashtra,"1643, North Ambazzari Road",0712,6624100,Empanelled,PPN Not Applicable,Other
588,Kimaya Jaiswal Hospital,Rajaji Ward,Ramtek,Nagpur,Maharashtra,Rajaji Ward  Ramtek Tal Ramtek,07114,256661,Empanelled,PPN Not Applicable,Other
589,Shantaram Ortho & Surgical Hospital,Gandhi Chowk,Ramtek,Nagpur,Maharashtra,Gandhi Chowk Ramtek,07114,255347,Empanelled,PPN Not Applicable,Other
590,Lavekar Hospital,Vaziabad,Nanded,Nanded,Maharashtra,"Subhas Road, Vazivabad",02462,240507,Empanelled,PPN Not Applicable,Other
591,Nanded Accident & Orthopaedic Hospital,Badpura,Nanded,Nanded,Maharashtra,Parvati Badpura,02462,235108,Empanelled,PPN Not Applicable,Other
592,Shrinath Maternity & Child Hospital,Workshop,Nanded,Nanded,Maharashtra,"Workshop, NAI",02462,263300,Empanelled,PPN Not Applicable,Other
593,Toshniwal Chest Hospital Maternity & Nursing Home,Vazirabad,Nanded,Nanded,Maharashtra,"Ghamodia Factory Area, Opp. Doctors Lane, Vaziraba",02462,241198,Empanelled,PPN Not Applicable,Other
594,Anant Hospital,Nanded Road,Niagaon,Nanded,Maharashtra,Nanded Road Niagaon 09,02463,262351,Empanelled,PPN Not Applicable,Other
595,Children & General Hospital,Manik Chowk,Nandurbar,Nandurbar,Maharashtra,Manik Chowk Opp Hutatma Shirishkumar Smarak,02564,222647,Empanelled,PPN Not Applicable,Other
596,Aashadatta Maternity Hospital,Dondaicha Road,Shahada,Nandurbar,Maharashtra,Dondaicha Road Opp Kharedi Uikri Sangh,02565,223435,Empanelled,PPN Not Applicable,Other
597,Sushrut Nursing Home,Khetia Road,Shahada,Nandurbar,Maharashtra,Khetia Road Behind J K Shoping Shahada,02565,223446,Empanelled,PPN Not Applicable,Other
598,Deore Hospital,Laxmi Nagar,Chalisgaon,Nashik,Maharashtra,"Laxmi Nagar, Bhadgaon Road",02589,222762,Empanelled,PPN Not Applicable,Other
599,Om Netralaya & Dental Clinic,Hirapur Road,Chalisgaon,Nashik,Maharashtra,Plot No 11 Aashish Sane Guruji Nagar Hirapur Road Chalisgaon,02589,222028,Empanelled,PPN Not Applicable,Other
600,M J Hospital & Critical Care Centre,Janta Raja Chowk,Malegaon,Nashik,Maharashtra,"Janta raja Chowk,Mosampool,Malegaon",02554,252425,Empanelled,PPN Not Applicable,Other
601,Prayas Superspeciality Hospital Pvt Ltd,Malegaon,Malegaon,Nashik,Maharashtra,College Road Opp K B H High School Malegaon Nashik,02554,252299,Empanelled,PPN Not Applicable,Other
602,Ashwini Hospital,Manmad,Manmad,Nashik,Maharashtra,"Anandvihar, D.M Road, Manmad",02591,222729,Empanelled,PPN Not Applicable,Other
603,Pushpak Hospital,Police Station Road,Manmad,Nashik,Maharashtra,"D'Souza Maidan, Police Station Road, Manmad",02591,223451,Empanelled,PPN Not Applicable,Other
604,Siddharth Hospital,Malegaon Road,Manmad,Nashik,Maharashtra,Malegaon Road Manmad,02591,227553,Empanelled,PPN Not Applicable,Other
605,Aayush Hospital,Panchavati,Nashik,Nashik,Maharashtra,Surya Aarked 3rd Floor Opp Nimani Bus Stop Panchavati,0253,2511309,Empanelled,PPN Not Applicable,Other
606,Ankur Maternity Home & Diagnostc Centre,Vrundavan Nagar,Nashik,Nashik,Maharashtra,Plot No 1 Vrundavan Nagar Opp Sai Bharat Petrol Pump Ambad Link Road Kamatwadi,0253,2374770,Empanelled,PPN Not Applicable,Other
607,Apollo Hospital,Panchavati,Nashik,Nashik,Maharashtra,S No 287/A/1A/1 Plot No 1 Swamu Narayan Nagar Off  Mumbai Agra Highway Panchawati,0253,2516411,Empanelled,PPN Not Applicable,Other
608,Arihant Hospital,Nashik,Nashik,Nashik,Maharashtra,B/H Wasan Showroom Mumbai Naka,0253,2505475,Empanelled,PPN Not Applicable,Other
609,Ashwini Accident Multispeciality Hospital,Behind Hotel Prakash,Nashik,Nashik,Maharashtra,"Govindnagar , Chowk No.-5 , Behind Hotel Prakash , Mumbai Naka",0253,2472552,Empanelled,PPN Not Applicable,Other
610,Bhagwati Superspeciality Endoscopy Hospitals Llp,Bhabha Nagar,Nashik,Nashik,Maharashtra,Shreyas Plaza Navshakti Chowk Kathe Galli Mumbai Naka Link Road Bhabha nagar,0253,2505402,Empanelled,PPN Not Applicable,Other
611,Birla Superspeciality Eye Hospital,Sharanpur Road,Nashik,Nashik,Maharashtra,"Riddhi Park, 2 Floor, Nr Rajiv Gandhi Bhavan, Sharanpur Raod, Nashik",0253,2232146,Empanelled,PPN Not Applicable,Other
612,Chintamani Hospital,Dindori,Nashik,Nashik,Maharashtra,Shrinivas Market Old Nashik Kalwan Road Behind Central bank of Janki sankul,02557,221100,Empanelled,PPN Not Applicable,Other
613,Chirayu Childrens & Eye Hospital,Gaikwad Mala,Nashik,Nashik,Maharashtra,"G Mall 2nd Floor, Gaikwad Mala, Behid Om Hospital Nashik Road",0253,2455121,Empanelled,PPN Not Applicable,Other
614,Curie Manavata Cancer Centre,Mumbai Naka,Nashik,Nashik,Maharashtra,Opp Mahamarg Bus Stand,0253,2595666,Empanelled,PPN Not Applicable,Other
615,Deogaonkar Hospital,Gangapur Rd,Nashik,Nashik,Maharashtra,"Old Pandit Colony, Gangapur Road",0253,2570424,Empanelled,PPN Not Applicable,Other
616,Divyajyot Hospital,Near Somoani Garden,Nashik,Nashik,Maharashtra,2nd Floor Deo Darshan App Near Somani Garden Muktidham Nashik Road,0253,2463355,Empanelled,PPN Not Applicable,Other
617,Dr Aware Hospital,Govind Nagar,Nashik,Nashik,Maharashtra,Govind Nagar Nashik Mumbai Road Near Ganapati Mandir,0253,2471757,Empanelled,PPN Not Applicable,Other
618,Dr Bagul Hospital,Gangapur Road,Nashik,Nashik,Maharashtra,"Near Prasad Circle, Maniknagar, Gangapur Road",0253,2307951,Empanelled,PPN Not Applicable,Other
619,Dr Bapaye Hospital,Behind N D C C Bank,Nashik,Nashik,Maharashtra,"behind NDCC bank, Old Agra Rd, Near C.B.S.",0253,2509421,Empanelled,PPN Not Applicable,Other
620,Dr Pimparikar Hospital,Mumbai Naka,Nashik,Nashik,Maharashtra,"Govindnagar Chowk, Behind Hotel Prakash",0253,2471512,Empanelled,PPN Not Applicable,Other
621,Dr Suryawanshi Eye Hospital,Old Agra road,Nashik,Nashik,Maharashtra,"Near Hotel Sandeep, Old Agra road",0253,2577681,Empanelled,PPN Not Applicable,Other
622,Healing Touch Angiography & Cardiac Surgery Centre Pvt Ltd,Old Agra Rd,Nashik,Nashik,Maharashtra,"Gole Colony, Old Agra Road",0253,2572962,Empanelled,PPN Not Applicable,Other
623,Jantara Hospital,Nasik,Nashik,Nashik,Maharashtra,Sharanpur Road Suyogit Sankul 1st Fl,0253,2572936,Empanelled,PPN Not Applicable,Other
624,Kalpataru Multispeciality Hospital,Uttam Nagar,Nashik,Nashik,Maharashtra,1st Floor Roongta Shopping Mall Beside Burkule Hall Uttam Nagar CIDCO,0253,2382040,Empanelled,PPN Not Applicable,Other
625,Krishna Hospital & Critical Care Centre,Sharanpur Road,Nashik,Nashik,Maharashtra,"Umiya Apartment, Opp. People's Bank Canada Corner SIGNAL, SHARANPUR RD",0253,2574009,Empanelled,PPN Not Applicable,Other
626,Kshitij Endoscopy Centre,Tidke Colony,Nashik,Nashik,Maharashtra,"Plot no 53/787,Near Ashwini hospital,Govindnagar, Nashik-9",0253,2316604,Empanelled,PPN Not Applicable,Other
627,Kute Eye Hospital,Tidke Colony,Nashik,Nashik,Maharashtra,Shri Hari Kute Marg Chandak Circle To Sandep Hotel Link RD Tidke Colony,0253,2313044,Empanelled,PPN Not Applicable,Other
628,Life Care Hospital,Lekha Nagar,Nashik,Nashik,Maharashtra,"Saptashrungi Complex, Lekha Nagar",0253,2375331,Empanelled,PPN Not Applicable,Other
629,Maharshi Heart & Critical Care Hospital,Anand Nagar,Nashik,Nashik,Maharashtra,"Anand Nagar, Behind Muktidham, Datta Mandir Road,",0253,2463619,Empanelled,PPN Not Applicable,Other
630,Maher Hospital,Nasik,Nashik,Nashik,Maharashtra,Pl No 54 Lahoti Nagar Behing Maule Hall Satpur,0253,2363826,Empanelled,PPN Not Applicable,Other
631,Mercury Superspeciality Hospital,Sharanpur Road,Nashik,Nashik,Maharashtra,Jondhale Complex Near Kutkarni Garden Sharanpur Road,0253,2317602,Empanelled,PPN Not Applicable,Other
632,Mvpa Vasantrao Pawar Medical College,Vasantdada nagar,Nashik,Nashik,Maharashtra,Vasantdada nagar Adgoan Nashik,0253,2303923,Empanelled,PPN Not Applicable,Other
633,Navsanjeevani Hospital,"Tidke Colony, Mumbai Naka",Nashik,Nashik,Maharashtra,"Plot No 8, Motkari Nagar, Behind Tupsakhare Lawn, Tidke Colony, Mumbai Naka",0253,2314652,Empanelled,PPN Not Applicable,Other
634,Nelson Memorial Children Hospital,TIDAKE COLONY,Nashik,Nashik,Maharashtra,"NEAR MAHAMARG BUS STAND , NEXT TO TUPASAKHARE LAWN'S, OFF HOLKAR MARG ,TIDAKE COLONY",0253,2580647,Empanelled,PPN Not Applicable,Other
635,Om Hospital,Nashik Road,Nashik,Nashik,Maharashtra,"Behind Regimental Plaza, Gaikwad Mala Road, Nashik",0253,2465355,Empanelled,PPN Not Applicable,Other
636,Prasanna Balrugnalay,Shazanpur Rd,Nashik,Nashik,Maharashtra,"New Pandit Colony, Opp. Old NMC, Shazanpur Road",0253,2582645,Empanelled,PPN Not Applicable,Other
637,Rajebahadur Hospital & Research Centre Pvt Ltd,Tilak Road,Nashik,Nashik,Maharashtra,"Plot No 13-14/199, Rajebahadur Colony, Tilak Road",0253,2503201,Empanelled,PPN Not Applicable,Other
638,Ramalayam Hospital,Panchavati Karanja,Nashik,Nashik,Maharashtra,Dr Gondkar building Near Panchavati Karanja Nashik,0253,2518116,Empanelled,PPN Not Applicable,Other
639,Ramole Eye Hospital & Dental Clinic,Canada Corner,Nashik,Nashik,Maharashtra,"Opp Sant Andriya Church, Near Canada Corner, Sharanpur- Trimbak Link Road,",0253,2318126,Empanelled,PPN Not Applicable,Other
640,Sadguru Hospital,Adgaon Naka,Nashik,Nashik,Maharashtra,"3rd Floor, Hari Krushna Plaza, Opp Panchavati Depot, Old ADgaon Naka, Panchavati",0253,6421065,Empanelled,PPN Not Applicable,Other
641,Sai Hospital,Sharanpur Rd,Nashik,Nashik,Maharashtra,"Crown Complex, Sharanpur Road",0253,2310311,Empanelled,PPN Not Applicable,Other
642,Sai Shree Superspeciality Hospital,Ozer (MIG),Nashik,Nashik,Maharashtra,R K Plaza Saikheda Phata Mumbai Agra Highway,02550,273222,Empanelled,PPN Not Applicable,Other
643,Sai Siddhi Hospital,Dindori,Nashik,Nashik,Maharashtra,Sai Vishwa Appt Shivaji Nagar Behind Ajay Gas Agency Opp Tahsil Office  Dindori,02557,221155,Empanelled,PPN Not Applicable,Other
644,Sanjeevani Hospital,Dindori,Nashik,Nashik,Maharashtra,"Opp. Rural Hospital, Dindori",02557,221143,Empanelled,PPN Not Applicable,Other
645,Sant Krupa Multispeciality & Accident Hospital,Devlali Camp,Nashik,Nashik,Maharashtra,Opp Bhatiya College Lam Road Devlali Camp Nashik Road,0253,2473555,Empanelled,PPN Not Applicable,Other
646,Sarthak Hospital,Satpur,Nashik,Nashik,Maharashtra,Behind Papaya Nursery Near Moule Hall Opp Swami Samarth Mandir Satpur,0253,2353770,Empanelled,PPN Not Applicable,Other
647,Shah Hospital,Sarda Circle,Nashik,Nashik,Maharashtra,Above Heo Showroom Sarda Circle,0253,2508632,Empanelled,PPN Not Applicable,Other
648,Shatabdi Super Speciality Hospital,Canada Corner,Nashik,Nashik,Maharashtra,Suyojit City Centre Opp Maha Marg Bus Stand Mumbai Naka,0253,2501888,Empanelled,PPN Not Applicable,Other
649,Shivam Eye Hospital,Gangapur Road,Nashik,Nashik,Maharashtra,"Deore Bhavan, Near Rishikesh Hospital,Gangapur Road",0253,2578807,Empanelled,PPN Not Applicable,Other
650,Shree Balaji Super Speciality Hospital,Nashik  Rd,Nashik,Nashik,Maharashtra,Opp. Mhasoba Mandir Deolali Gaon,0253,2463707,Empanelled,PPN Not Applicable,Other
651,Shree Saibaba Heart Institute & Research Centre,Near Kalidas Kala Mandir,Nashik,Nashik,Maharashtra,"Near Kalidas Kala Mandir, Shalimar Nashik",0253,2507001,Empanelled,PPN Not Applicable,Other
652,Shreeya Hospital,Mumbai Naka,Nashik,Nashik,Maharashtra,Gaikwad Nagar Behind Mahamarg Bus Stand Mumbai Naka,0253,2575319,Empanelled,PPN Not Applicable,Other
653,Shreeyash Hospital,Agra Road Nashik,Nashik,Nashik,Maharashtra,"plot No 05, S No 870/3, Prassana Colony,Behind Hotel Surya,Indiranagar",0253,2327009,Empanelled,PPN Not Applicable,Other
654,Shri Guruji Rugnalaya,Gangapur,Nashik,Nashik,Maharashtra,Anandwali Chowk Gangapur Road,0253,2343401,Empanelled,PPN Not Applicable,Other
655,Six Sigma Medicare & Research Ltd,Mahatma Nagar,Nashik,Nashik,Maharashtra,Satgurus Opp Water Tank Mahatma Nagar,0253,6066677,Empanelled,PPN Not Applicable,Other
656,Sonawane Heart Care Hospital And Research Centre,Mumbai Naka,Nashik,Nashik,Maharashtra,"Shrihari Kute Marg, Near Baba Darga, Tidke Colony",0253,2316134,Empanelled,PPN Not Applicable,Other
657,Sonawane Hospital Yeola,Yeola,Nashik,Nashik,Maharashtra,Paregaon Road At Post Yeola TQ- Yeola Dist Nashik,02559,268382,Empanelled,PPN Not Applicable,Other
658,Sujata Birla Hospital & Medical Research Center,Opp Bytco College,Nashik,Nashik,Maharashtra,"Opp. Bytco College, Nasik Pune Road, Nasik Road, Nasik",0253,2467667,Empanelled,PPN Not Applicable,Other
659,Sukhakarta Hospital & Maternity Hospital,Khutwad Nagar,Nashik,Nashik,Maharashtra,Near Vishwas Co op Bank ITI AMBAP LNK Road Khutwad Nagar,0253,2375450,Empanelled,PPN Not Applicable,Other
660,Sukhatme Maternity Home,Ashokstambh,Nashik,Nashik,Maharashtra,"Ashtavinayak Apt, Behind Dholya Ganpati Mandir, As",0253,2570412,Empanelled,PPN Not Applicable,Other
661,Sunrise Hospital Criticare Hospital & Research Centre,Sharanpur Road,Nashik,Nashik,Maharashtra,3rd Floor Suyojit Modern Point Opp Police Pared Graund Sharanpur Road,0253,2313222,Empanelled,PPN Not Applicable,Other
662,Surya Multispeciality Hospitals Pvt Ltd,Panchavati,Nashik,Nashik,Maharashtra,2nd Floor Surya Arcade Infront Of Nimani Bus Stane Panchavati Nashik,0253,2621777,Empanelled,PPN Not Applicable,Other
663,Susheel Eye Institute,MIDC Satpur,Nashik,Nashik,Maharashtra,P-10 MIDC Satpur Near PF Office,0253,2351241,Empanelled,PPN Not Applicable,Other
664,Suvichar Hospital,Nashik - Poona Rd.,Nashik,Nashik,Maharashtra,"856/ 857 Ganesh baba Nagar, Behind hotel siddarth, Nashik - Poona Rd.",0253,2236336,Empanelled,PPN Not Applicable,Other
665,Suyog Hospital,Panchavati,Nashik,Nashik,Maharashtra,2nd Floor Srushi Utpanna Bazar Samiti Sankul Dindori Road,0253,2629666,Empanelled,PPN Not Applicable,Other
666,Synergy Hospital & Research Centre,Dindori Road,Nashik,Nashik,Maharashtra,Wadgulde Plaza Geeta Nagar Bus Stop Dindori,0253,2530177,Empanelled,PPN Not Applicable,Other
667,Torne Ent Hospital & Research Centre,Mumbai Naka,Nashik,Nashik,Maharashtra,"Behind Mahamarg Bus Stand, Mumbai Naka",0253,2570125,Empanelled,PPN Not Applicable,Other
668,Trimurti Multispecialty Hospital,CIDCO,Nashik,Nashik,Maharashtra,2nd Floor Purab Paschim Plaza Near Divya Adlab Trimurti Chowk New nashik,0253,2390101,Empanelled,PPN Not Applicable,Other
669,Tulsi Eye Hospitals,Nashik Pune road,Nashik,Nashik,Maharashtra,Happy Home Colony Near Gen Vaidya Nagar Off Nasik Pune road Nashik,0253,2237801,Empanelled,PPN Not Applicable,Other
670,Vakratunda Hospital Pvt Ltd,Pathardi Pahata,Nashik,Nashik,Maharashtra,1st Floor Ragukul Sankul B/H Hotel Bandahurai Sales Tax Office Road,0253,6577657,Empanelled,PPN Not Applicable,Other
671,Vasan Eye Care Hospital,Mumbai Naka,Nashik,Nashik,Maharashtra,Mumbai Agra Road Mumbai Naka,0253,3989000,Empanelled,PPN Not Applicable,Other
672,Vijan Cardiac & Critical Care Centre,HPT College Road,Nashik,Nashik,Maharashtra,"Vijan Hospital, HPT College Road",0253,2572371,Empanelled,PPN Not Applicable,Other
673,Vimal Ent Hospital,M G Road,Nashik,Nashik,Maharashtra,"2nd Floor, M G Road, Sathaye Baug",0253,2571302,Empanelled,PPN Not Applicable,Other
674,Vishwesh Childrens Hospital,Mumbai Naka,Nashik,Nashik,Maharashtra,Behind Tnpsakhare Lowns Mumbai Naka,0253,2317852,Empanelled,PPN Not Applicable,Other
675,Wockhardt Hospitals Ltd,Wadalanaka,Nashik,Nashik,Maharashtra,"Plot No 39, NR Wani House  Wadala Naka Mumbai- Agra Road",0253,6624444,Empanelled,PPN Not Applicable,Other
676,Janseva Hospital,Runul Nagar,Niphad,Nashik,Maharashtra,Runul Nagar Ugaon Road Niphad,0250,240031,Empanelled,PPN Not Applicable,Other
677,Parijat Hospital,Nr S T Stand,Sinnar,Nashik,Maharashtra,"Pachore Lane, Nashik Pune Road, Dist- Nashik",02551,222344,Empanelled,PPN Not Applicable,Other
678,Shivai Hospital,Sinnar,Sinnar,Nashik,Maharashtra,Near Telephone Exchange Taluka Sinnar Dist Nashik,02551,220334,Empanelled,PPN Not Applicable,Other
679,Siddhivinayak Super Speciality Hospital,Infront of Bus Stand,Sinnar,Nashik,Maharashtra,"Behind State Bank Of India, Infront Of Bus Stand,Sinnar, Nashik",02551,221357,Empanelled,PPN Not Applicable,Other
680,Yashwant Multispeciality Hospital,Nr Vaje Petrol Pump,Sinnar,Nashik,Maharashtra,Nasik Pune Highway Dist Nashik,02551,222880,Empanelled,PPN Not Applicable,Other
681,Aayush Multi Speciality Hospital & Diognostic Centre,Airoli,Navi Mumbai,Navi Mumbai,Maharashtra,"Aayush vill K- 617, row house, sector - 4 airoli,",022,27605676,Empanelled,NON PPN,Mumbai
682,Acharya Shri Nanesh Hospital,CBD Belapur,Navi Mumbai,Navi Mumbai,Maharashtra,Plot No 34 37 Sector 8A Artist Colony CBD Belapur,022,27577791,Empanelled,NON PPN,Mumbai
683,Avadhoot Hospital & Iccu,Airoli,Navi Mumbai,Navi Mumbai,Maharashtra,"Plot No.29, Sec-19, Navi Mumbai",022,27640909,Empanelled,IN PPN,Mumbai
684,Dake Hospital,Uran,Navi Mumbai,Navi Mumbai,Maharashtra,"1st floor, Juvekar Complex, Uran-Karanja Road, Uran",022,27224488,Empanelled,PPN Not Applicable,Other
685,Divine Multispeciality Hospital,Ghansoli,Navi Mumbai,Navi Mumbai,Maharashtra,"Plot no 21, Sector 6, Navi mumbai",022,27601419,Empanelled,IN PPN,Mumbai
686,Dr A Tungekars Hospital,Uran,Navi Mumbai,Navi Mumbai,Maharashtra,"630, Nasir Apt, Bazar Peth, Uran",022,27220483,Empanelled,PPN Not Applicable,Other
687,Dr D Y Patil Hospital & Research Centre,Nerul,Navi Mumbai,Navi Mumbai,Maharashtra,Sector - 5 Nerul,022,27735901,Empanelled,NON PPN,Mumbai
688,Dr Dokes Shraddha Hospital,Airoli,Navi Mumbai,Navi Mumbai,Maharashtra,"Panchasheel Arcade, 1st Floor, Sector 5, Near Petrol Pump/Near Sahakar Bazar",022,27601281,Empanelled,NON PPN,Mumbai
689,Dr G D Pol Foundations Ymt General Hospital,Kharghar,Navi Mumbai,Navi Mumbai,Maharashtra,"Institutional Area, Sector 4, Kharghar, Navi Mumbai",022,27744401,Empanelled,NON PPN,Mumbai
690,Dr Jairajs Hospital,Belapur,Navi Mumbai,Navi Mumbai,Maharashtra,"Om Chanakya Complex, Sector-6 CBD Bus Deopo",022,27570738,Empanelled,NON PPN,Mumbai
691,Dr Mahajan Hospital & Itc,Belapur Road,Navi Mumbai,Navi Mumbai,Maharashtra,"R-831, T T C MIDC, Thane Belapur Road, Rabale",022,27691981,Empanelled,NON PPN,Mumbai
692,Dr R N Patil Suraj Hospital,Sanpada,Navi Mumbai,Navi Mumbai,Maharashtra,"Opp. Palm Beach Marg , Plot No 1 & 1 & 1A, Sun Palm View Building Sector No-15,",022,27810099,Empanelled,IN PPN,Mumbai
693,Dr Singh City Hospital & Medical Research Centre Pvt Ltd,Kalamboli,Navi Mumbai,Navi Mumbai,Maharashtra,"Plot no- 32, Sector-4, Kalamboli, Near Shiv Mandir",022,27421887,Empanelled,IN PPN,MUMBAI
694,Dr Sonawanes Hospital,Nerul (E),Navi Mumbai,Navi Mumbai,Maharashtra,Plot No 109/01 Sec 27 Nerul (E),022,27703644,Empanelled,NON PPN,Mumbai
695,Dr Yewale Multispeciality Hospital For Children,Vashi,Navi Mumbai,Navi Mumbai,Maharashtra,"Plot No 6B Sector 9, Vashi, Navi Mumbai",022,27661754,Empanelled,IN PPN,Mumbai
696,Dr. Ajayan Multispeciality Hospital,Kopar khairane,Navi Mumbai,Navi Mumbai,Maharashtra,Plot no. 6 Sector 9 koparkhairane near koparkhairane,022,27542254,Empanelled,IN PPN,Mumbai
697,Fortis Hiranandani Hospital,Vashi,Navi Mumbai,Navi Mumbai,Maharashtra,"Mini Sea Shore Road, Sector 10 A, Vashi",022,39199222,Empanelled,IN PPN,Mumbai
698,Gade Hospital,Uran,Navi Mumbai,Navi Mumbai,Maharashtra,"Kamtha Road, Uran",022,27221630,Empanelled,PPN Not Applicable,Other
699,Gandhi Hospital,Airoli,Navi Mumbai,Navi Mumbai,Maharashtra,"101-103, Ruby Commercial Complex, Sector - 4",022,27600097,Empanelled,NON PPN,Mumbai
700,Heritage Hospital,AIROLI,Navi Mumbai,Navi Mumbai,Maharashtra,"PLOT NO 6A ,SEC 6,AIROLI,",022,27642621,Empanelled,IN PPN,Mumbai
701,Lotus Multispeciality Hospital & Icu,Vashi,Navi Mumbai,Navi Mumbai,Maharashtra,"Balagi Sadan, Plot 20-D, Sec-15",022,27892020,Empanelled,NON PPN,Mumbai
702,Mangal Prabhu Nursing Home,Sanpada-Juinagar,Navi Mumbai,Navi Mumbai,Maharashtra,Mangal Prabhu Polyclinic Plot No 27 Sector 24 Sanpada-Juinagar,022,27711412,Empanelled,NON PPN,Mumbai
703,Mangaldeep Hospital,Kharghar,Navi Mumbai,Navi Mumbai,Maharashtra,D.57 Sect.12 Ganesh Temple,022,69591829,Empanelled,NON PPN,Mumbai
704,Mgm Hospital & Research Centre,Belapur,Navi Mumbai,Navi Mumbai,Maharashtra,"1/ A, CBD-Belapur",022,27581061,Empanelled,NON PPN,Mumbai
705,Mgm New Bombay Hospital,Vashi,Navi Mumbai,Navi Mumbai,Maharashtra,"Plot No.35, Sector 3, Near Vashi Police Station",022,27822203,Empanelled,IN PPN,Mumbai
706,Mitr Health Care Hospital,Kharghar,Navi Mumbai,Navi Mumbai,Maharashtra,"74-79 Chaturbhuj CHS Sector 21, Above IDBI bank kharghar Navi Mumbai",022,27744230,Empanelled,NON PPN,Mumbai
707,Mody Hospital & Icu,Airoli,Navi Mumbai,Navi Mumbai,Maharashtra,"Plot No. 1, 2 & 3, Sector 2,Airoli.",022,27795478,Empanelled,IN PPN,Mumbai
708,Navjeevan Hospital & Iccu,Near Central Park,Navi Mumbai,Navi Mumbai,Maharashtra,"Archana jyoti 1st floor plot no-18, sector 17,DBC vashi Navi Mumbai",022,27891801,Empanelled,IN PPN,Mumbai
709,Navjivan Hospital,Airoli,Navi Mumbai,Navi Mumbai,Maharashtra,"Plot no C-18, Sector 4, Airoli",022,27694509,Empanelled,NON PPN,Mumbai
710,Niramaya Holistic Health Services Pvt Ltd,Kharghar,Navi Mumbai,Navi Mumbai,Maharashtra,"Plot No.-5 A,Sector 4 ,kharghar,Near bal Bharti School",022,27747761,Empanelled,IN PPN,Mumbai
711,Noble Care Hospital,Kamothe,Navi Mumbai,Navi Mumbai,Maharashtra,Sai Dwar Plot No 64 Sector 21 Komathe,022,65560880,Empanelled,NON PPN,Mumbai
712,Ojas Nursing Home,Nerul,Navi Mumbai,Navi Mumbai,Maharashtra,"Plot No 8-3, Sector 8, Nerul, Phase-II, Behind M G M School",022,27725634,Empanelled,IN PPN,Mumbai
713,Om Gagangiri Hospital,Kopar khairane,Navi Mumbai,Navi Mumbai,Maharashtra,"102, Shubham Co op Hsg Society, Sector 18, Plot No 77, Near Kotak Maindra Bank, Koparkhairane",022,27546800,Empanelled,NON PPN,Mumbai
714,Patoria Eye Clinic,Nerul,Navi Mumbai,Navi Mumbai,Maharashtra,"301, Mahavir Niwas, Sector - 21",022,27729618,Empanelled,IN PPN,Mumbai
715,Sai Seva Hospital & Iccu,Airoli,Navi Mumbai,Navi Mumbai,Maharashtra,"Row House B 1 Sec-4, Opp Cidco Wgt Tank, Airoli, Navi Mumbai",022,27799529,Empanelled,NON PPN,Mumbai
716,Sanjivani Hospital,Airoli,Navi Mumbai,Navi Mumbai,Maharashtra,"Rajkamal Bldg, 1st Floor, Opp Bus Depot, Sector -3 ,Airoli",022,27790098,Empanelled,IN PPN,Mumbai
717,Shivam Eye Foundation,Behind HP Petrol Pump,Navi Mumbai,Navi Mumbai,Maharashtra,"Sec - 25, Plot No.14, , Opp Seawood/Darave Railway Station",022,27700828,Empanelled,IN PPN,Mumbai
718,Shree Eye Hospital,Airoli,Navi Mumbai,Navi Mumbai,Maharashtra,"Sector  3 ,14, National CHS, Behind Airoli Bus Depot",022,27796345,Empanelled,IN PPN,Mumbai
719,Shree Hospital,Uran,Navi Mumbai,Navi Mumbai,Maharashtra,"Balai Road , Uran Mumbai ,Maharashtra 400702",022,27224499,Empanelled,PPN Not Applicable,Other
720,Shushrusha Heart Care Centre & Speciality Hospital,Nerul,Navi Mumbai,Navi Mumbai,Maharashtra,"Plot no 22 A Phase III Plam Beach Road Sector 6 Nerul, Navi Mumbai",022,27719245,Empanelled,IN PPN,Mumbai
721,Sterling Wockhardt Hospital,Vashi,Navi Mumbai,Navi Mumbai,Maharashtra,"On Sion Panvel Expressway,Plot no 48 & 49 ,Sector 7",022,66804444,Empanelled,IN PPN,Mumbai
